id;rodzaj;Model;uwagi;Wi-Fi;LAN;FAX;NFC;ADF;duplex;Skan. Dwustr.;A3;cena drukarki
1;atramentowe mono;Epson EcoTank M1180;1;tak;tak;;;;tak;;;987
2;atramentowe;Drukarka Canon Pixma IX6850;;tak;tak;;;;;;tak/ A3+;1 379 z≥
3;atramentowe;Drukarka Epson EcoTank L1110;;;;;;;;;;725 z≥
4;atramentowe;Drukarka Epson L1250;1;tak;;;;;;;;700,34
5;atramentowe;Drukarka HP Officejet Pro 6230;3;tak;tak;;;;tak;;;397
6;atram. Wielofunkc.;Hp Smart Tank 516;zapowiedü;;;;;;;;;
7;atram. Wielofunkc.;Canon Pixma G2420;zapowiedü;;;;;;;;;
8;atram. wielofunkc.;HP DeskJet 2710 ALL-in-One;2;tak;;;;;;;;253
9;atram. Wielofunkc.;Brother DCP-T420 W;.;;;;;;;;;1110
10;atram. Wielofunkc.;HP DeskJet Ink Advantage 3760;2;tak;;;;;;;;305
11;atram. wielofunkc.;HP DeskJet 3762 All-in-One;2;tak;;;;;;;;310
12;atram. Wielofunkc.;HP Smart Tank 515;0 w lutym ost. Sprzedaø;tak;;;;;;;;962 z≥
13;atram. wielofunkc.;Epson EcoTank L3251 (czarna);1;tak;;;;;;;;976 z≥
14;atram. wielofunkc.;Epson EcoTank L3256 (bia≥a);01.sty;tak;;;;;;;;976 z≥
15;atram. wielofunkc.;Epson EcoTank L5290;1;tak;tak;tak;;tak;;;;1 463 z≥
16;atram. wielofunkc.;Epson EcoTank L4260;2;tak;;;;;tak;;;1 569 z≥
17;atram. wielofunkc.;HP Envy 6420e;2;tak;;;;tak;tak;;;527 z≥
18;atram. wielofunkc.;HP DeskJet 2720e;2;tak;;;;;;;;279
19;atram. Wielofunkc.;Epson EcoTank L3151;2;tak;;;;;;;;981
20;atram. Wielofunkc.;Canon MAXIFY MB2150;1;;;;;;;;;
21;atram. Wielofunkc.;HP Officejet Pro 6950;1;tak;;tak;;tak;tak;;;645 z≥
22;atram. wielofunkc.;"HP Ink Tank Wireless 419 All-in-One (Z6Z97A)
";;tak;;;;;;;;839 z≥
23;atram. wielofunkc.;HP Deskjet Ink Advantage 3788;;tak;;;;;;;;321 z≥
24;laserowa mono;Drukarka Xerox Phaser 3020;1;tak;;;;;;;;487 z≥
25;laserowa mono;HP Laser 107 A;2;;;;;;;;;
26;laserowa mono;Brother HL-1223 WE;.;;;;;;;;;
27;laserowa mono;Drukarka Brother HL-1210 WE;1;tak;;;;;;;;758
28;laserowa mono;Drukarka Brother HL-L2352DW;01.sty;tak;;;;;tak;;;986 z≥
29;laserowa mono;Canon i-SENSYS LBP223 DW;1;tak;tak;;;;tak;;;1 099 z≥
30;laserowa mono;Drukarka HP LaserJet Pro M404 DN;2 ñ na wysy≥kÍ;;tak;;;;tak;;;920 z≥
31;laserowa mono;Drukarka HP LaserJet Pro M15 W;;tak;;;;;;;;547 z≥
32;laserowa mono wielofunkc.;Brother DCP-1510 E;1;;;;;;;;;799 z≥
33;laserowa mono wielofunkc.;Brother MFC-B7715 DW;0;tak;tak;tak;;tak;tak;;;1 756 z≥
34;laserowa mono wielofunkc.;Brother DCP-1623 WE;1;tak;;;;;;;;1 186 z≥
35;laserowa mono wielofunkc.;Brother DCP-L2532 DW;1;tak;;;;;tak;;;1 379 z≥
36;laserowa mono wielofunkc.;HP Laser MFP 135 W;1;tak;;;;;;;;898 z≥
37;laserowe mono wielof.;Brother mfc-j3930 DW;;tak;tak;tak;tak;tak;tak;tak;tak;3 670,99
38;laserowa mono wielofunkc.;HP LaserJet Pro MFP M28 W;2;tak;;;;;;;;1 007 z≥
39;laserowa mono wielofunkc.;Brother DCP-1610 WE;;tak;;;;;;;;969 z≥
40;laserowa mono wielofunkc.;Brother DCP-B7520 DW;1;tak;tak;;;;tak;;;1 670 z≥
41;laserowa mono wielofunkc.;Brother DCP-L2512 D;1;;;;;;tak;;;859 z≥
42;laserowa kolor;Brother HL-L3270 CDW;1;tak;tak;;tak;;tak;;;1962
43;laserowa mono wielofunkc.;Xerox WorkCentre 3025 V_BI;;tak;;;;;;;;745 z≥
44;laserowa mono wielofunkc.;Xerox WorkCentre 3345 V DNI;;tak;tak;tak;;tak;tak;;;1 699 z≥
45;laserowa COLOR wielofunkc.;HP Color LaserJet Pro MFP M282 NW;;tak;tak;;;tak;;;;2 493 z≥
46;laserowa mono wielofunkc.;Brother DCP-B7500 D;;;;;;;tak;;;1 019 z≥
47;laserowa mono wielofunkc.;HP LaserJet Pro M130 NW;;tak;tak;;;;;;;1 059 z≥
48;laserowa mono wielofunkc.;HP LaserJet Pro MFP M28a;;;;;;;;;;677
